Customer Name,Part Description,Work Order #,Order Quantity,Pieces Scrapped,Total Scrap Weight (lbs),Scrap%,Sellable,Heats,Week Ending,Piece Weight (lbs),Dross Rate,Bent Rate,Outside Process Scrap Rate,Failed Zyglo Rate,Gouged Rate,Shift Rate,Missrun Rate,Core Rate,Cut Into Rate,Dirty Pattern Rate,Crush Rate,Zyglo Rate,Shrink Rate,Short Pour Rate,Runout Rate,Shrink Porosity Rate,Gas Porosity Rate,Over Grind Rate,Sand Rate,Tear Up Rate
"Acme Industries, Inc",2190-1287--Cast Sogav 105,W01666,600,3,12,0.50,47800,239,01/16/23,4,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000
"Acme Industries, Inc","2190-1641--TecJet 110, Inlet",W01182,150,6,65,4.00,47800,239,01/16/23,11,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000
"Air Squared Manufacturing, Inc",180216-3C--Compressor Housing,W00348,420,9,77,2.14,47800,239,01/16/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0000
Emerson Professional Tools Mfg,52063143--Capstan MTS (G3),W01537,100,3,46,3.00,47800,239,01/16/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000
LSP Industries,CAS-007--End Plate,W01317,126,9,11,7.14,47800,239,01/16/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.0000
Pioneer Products,366-5437--Cover,W01395,130,2,30,1.54,47800,239,01/16/23,15,0.0000,0.02,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2526-707--Servo Valve,W01639,25,6,109,24.00,47800,239,01/16/23,18,0.0000,0.00,0.0000,0.0000,0.00,0.12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200,0.0000
"Summit Machine Works, Inc",55000003---Casting,W00258,402,5,110,1.24,37800,189,02/06/23,22,0.0050,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0075,0.0000
"Woodward, Inc",2190-1574---Cast Mounting Plate,W01881-01,100,6,20,6.00,37800,189,02/06/23,3,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0100
"Woodward, Inc",2389-063---Casting,W01336,126,3,13,2.38,37800,189,02/06/23,4,0.0079,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0159,0.0000
Emerson Professional Tools Mfq,52086802--Capstan,W01728,100,3,8,3.00,33000,165,02/10/23,3,0.0000,0.00,0.0000,0.0000,0.00,0.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
Emerson Professional Tools Mfq,"52088630--New 4"" Follow Bar",W01717,50,3,237,6.00,33000,165,02/10/23,79,0.0000,0.06,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Inertia Dynamics LLC,258-1123--Bearing Housing,W01844,100,5,9,5.00,33000,165,02/10/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
Reliable Equipment Mfg,13403C--Chainsaw Head,W01400,400,6,10,1.50,33000,165,02/10/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0075,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025
"Summit Machine Works, Inc",55000003--Casting,W00258,402,12,263,2.99,33000,165,02/10/23,22,0.0224,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0075,0.0000
Twin Disc Incorporated,218545D--Casting,W01298,20,1,12,5.00,33000,165,02/10/23,12,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"QCC, LLC",2190-1699--Varistroke I Housing,W01699,70,1,63,1.43,0,0,02/20/23,63,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2190-1573--Cast R120 Gear Housing,W01882-01,100,4,24,4.00,0,0,02/20/23,6,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400
2627-009--Cast 105mm Housing,2627-009--Cast 105mm Housing,W01942,200,1,19,0.50,33400,167,02/24/23,19,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000
"Air Squared Manufacturing, Inc",171225-1C--Fixed Scroll,W01610,120,3,27,2.50,33400,167,02/24/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0167
Concentric Rockford,2670401--Adaptor,W01872,100,2,11,2.00,33400,167,02/24/23,6,0.0100,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
"Eck Industries, Inc",847281C--Input Shaft Support,W01626,3,1,9,33.33,33400,167,02/24/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.33,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333
Solar Turbines,954555C1--Access Cover,W01341,100,2,8,2.00,33400,167,02/24/23,4,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000
"Summit Machine Works, Inc",55000003--Casting,W00258,402,4,88,1.00,33400,167,02/24/23,22,0.0100,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2190-1015--Cast 75mm Std Flange,W01490,100,5,35,5.00,33400,167,02/24/23,7,0.0400,0.00,0.0000,0.0000,0.00,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
LSP Industries,CAS-006--Casting,W01910,200,2,1,1.00,56000,280,03/06/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0050
Pioneer Products,528-0374--Fuel Manifold Adapter,W01746,308,2,3,0.65,56000,280,03/06/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0032
Reliable Equipment Mfg,13403C--Chainsaw Head,W01402,400,5,8,1.25,56000,280,03/06/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0075
Reliable Equipment Mfg,27010C--Shuttle Block,W01032,501,1,2,0.20,56000,280,03/06/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020
"Summit Machine Works, Inc",55000003--Casting,W01994,351,6,131,1.71,56000,280,03/06/23,22,0.0171,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,2627-009--Cast 105mm Housing,W01942,200,6,112,3.00,5400,27,03/10/23,19,0.0000,0.00,0.0000,0.0000,0.01,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000
Cole-Parmer,111482--Anodize Tray,W00294,125,5,36,4.00,5400,27,03/10/23,7,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0240,0.0160
"Summit Machine Works, Inc",55000003--Casting,W01994,351,4,88,1.14,5400,27,03/10/23,22,0.0114,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Twin Disc Incorporated,237816--Impeller Wheel,W01851,102,2,31,1.96,5400,27,03/10/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0196,0.0000
"Woodward, Inc",221235--Casting,W01977,10,2,4,20.00,5400,27,03/10/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000
"Woodward, Inc",221504--Casting,W01979,16,1,1,6.25,5400,27,03/10/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0000
"Woodward, Inc",2403-112--Cover,W01974,81,1,1,1.23,5400,27,03/10/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,0.0000
"Air Squared Manufacturing, Inc",2627-008--Cast 120mm Large Flotech,W01943,200,4,65,2.00,47200,236,03/20/23,16,0.0000,0.00,0.0000,0.0000,0.01,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
"Air Squared Manufacturing, Inc",170301-10C--Cover Fixed Jacket,W00363,300,4,4,1.33,47200,236,03/20/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000
Bodine Electric Company,33101084--Shield GH Z,W01546,152,8,10,5.26,47200,236,03/20/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0526,0.0000
"PGI Mfg., LLC",7C-7683--Adapter,W01318,752,12,10,1.60,47200,236,03/20/23,1,0.0000,0.00,0.0000,0.0000,0.01,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,0.0000
"Summit Machine Works, Inc",55000003--Casting,W01994,351,6,131,1.71,47200,236,03/20/23,22,0.0171,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",221229--Casting,W01540,25,2,16,8.00,47200,236,03/20/23,8,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0000
"Air Squared Manufacturing, Inc",171225-2C--Orbiting Scroll,W01606,60,1,7,1.67,53200,266,03/27/23,7,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"QCC, LLC",2626-004--Casting,W01694,60,1,15,1.67,53200,266,03/27/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Reliable Equipment Mfg,27010C--Shuttle Block,W01031,501,18,43,3.59,53200,266,03/27/23,2,0.0299,0.00,0.0000,0.0000,0.01,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Roswell US LLC,17V-00020293--CastNGG Center,W01505,35,1,32,2.86,53200,266,03/27/23,32,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000
Roswell US LLC,17V-00020297--CastNGG Port Comer,W01774,100,1,11,1.00,53200,266,03/27/23,11,0.0000,0.00,0.0000,0.0000,0.01,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Summit Machine Works, Inc",55000003--Casting,W01994,351,6,131,1.71,53200,266,03/27/23,22,0.0171,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2489-061--Casting,W01971,256,1,2,0.39,53200,266,03/27/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bodine Electric Company,34101073--Cast Adaptor Gearhousing,W01641,100,2,12,2.00,28800,0,04/03/23,6,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0100
"Doering Company, LLC",400-00-400--Valve,W01625,500,4,8,0.80,28800,0,04/03/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080
"PGI Mfg., LLC",7C-7683--Adapter,W01416,1702,24,20,1.41,28800,0,04/03/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,0.0047
Rockford Powertrain Inc,01021039--Casting,W01897,174,4,25,2.30,28800,0,04/03/23,6,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0230,0.0000
"Summit Machine Works, Inc",55000003--Casting,W02072,450,6,131,1.33,28800,0,04/03/23,22,0.0133,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2489-089--ACR/VLV Housing,W01581,25,5,48,20.00,28800,0,04/03/23,10,0.0000,0.00,0.0000,0.0000,0.00,0.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000
"Woodward, Inc",2582-025--Actuator Body,W01576,32,1,3,3.13,28800,0,04/03/23,3,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0313,0.0000
"Doering Company, LLC",400-00-400--Valve,W01625,500,4,8,0.80,9800,49,04/10/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hydac Technology Corp,2681395--Casting,W02226,600,1,3,0.17,9800,49,04/10/23,3,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"PGI Mfg., LLC",7C-7683--Adapter,W01416,1702,18,15,1.06,9800,49,04/10/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,0.0000
"QCC, LLC",2626-004--Casting,W01694,60,7,106,11.67,9800,49,04/10/23,15,0.0000,0.00,0.0000,0.0000,0.08,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,0.0000
Twin Disc Incorporated,237816--Impeller Wheel,W01851,102,3,46,2.94,9800,49,04/10/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0294,0.0000
"Unibloc-Pump, LLC",6651--Cast Tee Discharge Valve,W01822,200,12,7,6.00,9800,49,04/10/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2190-1662--Casting,W01688,30,4,29,13.33,9800,49,04/10/23,7,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Acutec Precision Aerospace, Inc",2627-008--Cast 120mm Large Flotech,W01943,200,2,33,1.00,6,6,04/14/23,16,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
"Acutec Precision Aerospace, Inc",2627-009--Cast 105mm Housing,W01942,200,3,56,1.50,6,6,04/14/23,19,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000
"Acutec Precision Aerospace, Inc",2190-1292--Throttle Body,W01901,114,2,25,1.75,6,6,04/14/23,12,0.0000,0.00,0.0000,0.0000,0.02,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Air Squared Manufacturing, Inc",180216-3C--Compressor Housing,W01616,300,1,9,0.33,6,6,04/14/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cole-Parmer,111482--Anodize Tray,W00455,125,4,29,3.20,6,6,04/14/23,7,0.0000,0.00,0.0000,0.0000,0.02,0.00,0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0000
"Current Tools, Inc","254-169--4"" Shoe",W01681,35,2,200,5.71,6,6,04/14/23,100,0.0000,0.00,0.0000,0.0000,0.06,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Doering Company, LLC",400-00-400--Valve,W01625,500,16,31,3.20,6,6,04/14/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pioneer Products,366-5437--Cover,W01394,125,2,30,1.60,6,6,04/14/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0000
"Summit Machine Works, Inc",55000003--Casting,W01855,351,6,131,1.71,6,6,04/14/23,22,0.0171,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Air Squared Manufacturing, Inc",171225-1C--Fixed Scroll,W02225,180,4,36,2.22,42200,211,04/24/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0000
"Air Squared Manufacturing, Inc",180216-3C--Compressor Housing,W01616,300,1,9,0.33,42200,211,04/24/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CST Storage - Dekalb,"2-80466--Access 30"" Door",W01814,30,3,92,10.00,42200,211,04/24/23,31,0.0000,0.00,0.0000,0.0000,0.03,0.00,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.0000
"Current Tools, Inc","270-117--Cast 5""RMC",W01758,50,2,22,4.00,42200,211,04/24/23,11,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000
"Current Tools, Inc","270-217--Cast 4"" PVC Support",W01766,50,3,60,6.00,42200,211,04/24/23,20,0.0200,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000
"PGI Mfg., LLC",7C-7683--Adapter,W01416,1702,16,13,0.94,42200,211,04/24/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,0.0000
Pioneer Products,366-5437--Cover,W01394,125,2,30,1.60,42200,211,04/24/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0000
Reliable Equipment Mfg,13403C--Chainsaw Head,W01403,400,5,8,1.25,42200,211,04/24/23,2,0.0025,0.00,0.0000,0.0000,0.01,0.00,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Roswell US LLC,15V-022054--LRT LEFTMOUNT,W01736,60,2,33,3.33,42200,211,04/24/23,17,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167
Jarvis Products Corporation,7046048--Casting,W02280,200,1,59,0.50,29600,148,05/01/23,59,0.0000,0.00,0.0000,0.0000,0.01,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Roswell US LLC,17V-23054--Starboard Cover,W02007,15,2,9,13.33,29600,148,05/01/23,5,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Summit Machine Works, Inc",55000003--Casting,W02073,300,9,197,3.00,29600,148,05/01/23,22,0.0300,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2190-1263--Casting,W02093,25,2,120,8.00,29600,148,05/01/23,60,0.0000,0.00,0.0000,0.0000,0.04,0.00,0.0400,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Acme Industries, Inc",2190-1405--TecJet 85 Housing,W01369,100,1,37,1.00,45000,225,05/08/23,37,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0100
Emerson Professional Tools Mfg,52047935--Saw Head,W02116,144,2,3,1.39,45000,225,05/08/23,2,0.0139,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"PGI Mfg., LLC",2W-7111--Casting,W01750,100,1,2,1.00,45000,225,05/08/23,2,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
"Summit Machine Works, Inc",55000003--Casting,W02073,300,6,131,2.00,45000,225,05/08/23,22,0.0200,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc","2190-1451--Cast Cover, Varistroke II",W01887-01,10,1,18,10.00,45000,225,05/08/23,18,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2190-1573--Cast R120 Gear Housing,W01882-01,100,2,12,2.00,45000,225,05/08/23,6,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200
